objectid,start_time,problem_description,problem_eventid,acknowledged,r_eventid,end_time,acknowledge_message,duration,hostname
75472,2023-09-11 08:33:54,ICMP: High ICMP ping response time,1926936,0,,2023-09-11 08:34:48,,,Maahi Milk 101970 Dhunai - I-CPE - GJ
75340,2023-09-11 08:33:10,ICMP: High ICMP ping response time,1926923,0,,2023-09-11 08:34:48,,,Maahi Milk 107153 Dhori - I-CPE - GJ
75502,2023-09-11 08:33:04,ICMP: High ICMP ping response time,1926921,0,1926946.0,2023-09-11 08:34:04,,60.000000,Maahi Milk 107156 Hodka - I-CPE - GJ
75592,2023-09-11 08:31:34,ICMP: High ICMP ping response time,1926883,0,,2023-09-11 08:34:48,,,Maahi Milk 107165 Patdi - I-CPE - GJ
76233,2023-09-11 08:31:26,{HOST.NAME} is unavailable by ICMP - ({HOST.IP}),1926879,0,,2023-09-11 08:34:48,,,DB Corp Limited 103145 Dhanbad Airtel DLC Direct Link - Dhanbad - JH
58228,2023-09-11 08:31:22,ICMP: High ICMP ping response time,1926878,0,,2023-09-11 08:34:48,,,Adani Total Gas Limited 121416 Gwalior - WB  - MP
58402,2023-09-11 08:31:20,ICMP: High ICMP ping response time,1926876,0,,2023-09-11 08:34:48,,,Adani Total Gas Limited 121418 Gwalior - CPE  - MP
50788,2023-09-11 08:31:17,{HOST.NAME} is unavailable by ICMP - ({HOST.IP}),1926875,0,,2023-09-11 08:34:48,,,DB Corp Noida-Dhanbad AIRTEL P2P 15MB -13301214
75454,2023-09-11 08:29:48,ICMP: High ICMP ping response time,1926836,0,,2023-09-11 08:34:48,,,Maahi Milk 107161 Bhirandiyara - I-CPE - GJ
42457,2023-09-11 08:29:35,Cisco IOS: Unavailable by ICMP ping,1926831,0,1926857.0,2023-09-11 08:30:35,,60.000000,Electrotherm 50MBPS - 102012 - Client End Switch - AHM
42454,2023-09-11 08:29:34,{HOST.NAME} is unavailable by ICMP - ({HOST.IP}),1926829,0,1926856.0,2023-09-11 08:30:34,,60.000000,Electrotherm 50MBPS Secondary From Sanand - 102012 - WB - AHM
