objectid,start_time,problem_description,problem_eventid,acknowledged,r_eventid,end_time,acknowledge_message,duration,hostname
26646,2023-09-04 15:56:48,Load average is too high,3611325,0,3611501.0,2023-09-04 16:01:47,,299.0,Zabbix-Server-Active
26646,2023-09-04 14:06:48,Load average is too high,3607330,0,3607476.0,2023-09-04 14:10:47,,239.0,Zabbix-Server-Active
26646,2023-09-04 13:00:47,Load average is too high,3604979,0,3605018.0,2023-09-04 13:01:47,,60.0,Zabbix-Server-Active
26646,2023-09-04 12:53:47,Load average is too high,3604734,0,3604804.0,2023-09-04 12:55:47,,120.0,Zabbix-Server-Active
23599,2023-09-04 09:12:27,Zabbix server: More than 100 items having missing data for more than 10 minutes,3597179,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
32195,2023-09-04 09:11:49,Port 38891 is down for sometime,3597155,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
23608,2023-09-04 08:51:32,Zabbix server: Utilization of http poller processes is high,3596404,0,3596506.0,2023-09-04 08:52:32,,60.0,Zabbix-Server-Active
26639,2023-09-04 08:51:10,has been restarted,3596376,0,3596815.0,2023-09-04 09:00:40,,570.0,Zabbix-Server-Active
24518,2023-09-04 08:51:09,Cluster node [node2]: Status changed,3596373,0,3621505.0,2023-09-04 20:51:09,,43200.0,Zabbix-Server-Active
23599,2023-09-03 22:12:27,Zabbix server: More than 100 items having missing data for more than 10 minutes,3590107,0,3596395.0,2023-09-04 08:51:27,,38340.0,Zabbix-Server-Active
32194,2023-09-03 22:12:25,Port 46207 is down for sometime,3590106,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
26639,2023-09-03 21:51:40,has been restarted,3589438,0,3589786.0,2023-09-03 22:01:40,,600.0,Zabbix-Server-Active
23606,2023-09-03 21:51:34,Zabbix server: Utilization of history syncer processes is high,3589426,0,3589502.0,2023-09-03 21:52:34,,60.0,Zabbix-Server-Active
23599,2023-09-03 11:26:27,Zabbix server: More than 100 items having missing data for more than 10 minutes,3577303,0,3589496.0,2023-09-03 21:52:27,,37560.0,Zabbix-Server-Active
32190,2023-09-03 11:25:38,Port 38383 is down for sometime,3577280,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
26639,2023-09-03 11:05:10,has been restarted,3576631,0,3576942.0,2023-09-03 11:14:40,,570.0,Zabbix-Server-Active
32193,2023-09-02 15:06:51,Port 34933 is down for sometime,3555401,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
32191,2023-09-02 15:01:51,Port 38895 is down for sometime,3555221,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
32192,2023-09-02 15:01:51,Port 44529 is down for sometime,3555222,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
23599,2023-09-02 12:35:27,Zabbix server: More than 100 items having missing data for more than 10 minutes,3550064,0,3576648.0,2023-09-03 11:05:27,,81000.0,Zabbix-Server-Active
32189,2023-09-02 12:34:51,Port 44935 is down for sometime,3550044,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
23608,2023-09-02 12:14:32,Zabbix server: Utilization of http poller processes is high,3549408,0,3549455.0,2023-09-02 12:15:32,,60.0,Zabbix-Server-Active
26639,2023-09-02 12:14:10,has been restarted,3549383,0,3549710.0,2023-09-02 12:23:40,,570.0,Zabbix-Server-Active
26646,2023-09-01 21:35:48,Load average is too high,3545514,0,3545950.0,2023-09-01 21:47:47,,719.0,Zabbix-Server-Active
32185,2023-09-01 20:30:31,Port 36415 is down for sometime,3543235,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
32186,2023-09-01 20:30:31,Port 42973 is down for sometime,3543236,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
32187,2023-09-01 20:30:31,Port 43383 is down for sometime,3543237,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
32188,2023-09-01 20:30:31,Port 39885 is down for sometime,3543238,0,,2023-09-04 20:52:48,,,Zabbix-Server-Active
23599,2023-09-01 20:30:27,Zabbix server: More than 100 items having missing data for more than 10 minutes,3543233,0,3549403.0,2023-09-02 12:14:27,,56640.0,Zabbix-Server-Active
26639,2023-09-01 20:09:40,has been restarted,3542610,0,3542934.0,2023-09-01 20:19:40,,600.0,Zabbix-Server-Active
26646,2023-09-01 18:47:48,Load average is too high,3539876,0,3540020.0,2023-09-01 18:51:47,,239.0,Zabbix-Server-Active
26646,2023-09-01 18:36:47,Load average is too high,3539479,0,3539658.0,2023-09-01 18:41:47,,300.0,Zabbix-Server-Active
26646,2023-09-01 18:17:47,Load average is too high,3538793,0,3538937.0,2023-09-01 18:21:47,,240.0,Zabbix-Server-Active
26638,2023-09-01 09:51:04,Operating system description has changed,3520795,0,3543916.0,2023-09-01 20:51:04,,39600.0,Zabbix-Server-Active
