objectid,start_time,problem_description,problem_eventid,acknowledged,r_eventid,end_time,acknowledge_message,duration,hostname
24738,2023-09-04 19:31:58,Website Unavailable: Facebook,3618816,0,,2023-09-04 21:32:15,,,Zabbix-Server-Standby
24738,2023-09-04 17:18:28,Website Unavailable: Facebook,3614184,0,3614533.0,2023-09-04 17:28:29,,601.0,Zabbix-Server-Standby
24738,2023-09-04 15:55:35,Website Unavailable: Facebook,3611284,0,3614017.0,2023-09-04 17:13:39,,4684.0,Zabbix-Server-Standby
23296,2023-09-04 15:09:29,Website Unavailable: Grafana,3609565,0,,2023-09-04 21:32:15,,,Zabbix-Server-Standby
26662,2023-09-04 08:51:47,has been restarted,3596448,0,3596803.0,2023-09-04 09:00:17,,510.0,Zabbix-Server-Standby
24646,2023-09-04 08:51:27,{HOST.NAME} is unavailable by ICMP - ({HOST.IP}),3596401,0,,2023-09-04 21:32:15,,,Zabbix-Server-Standby
23296,2023-09-03 21:51:47,Website Unavailable: Grafana,3589450,0,3598490.0,2023-09-04 09:51:58,,43211.0,Zabbix-Server-Standby
24738,2023-09-03 00:41:36,Website Unavailable: Facebook,3576279,0,3576593.0,2023-09-03 00:50:21,,525.0,Zabbix-Server-Standby
24738,2023-09-03 00:26:37,Website Unavailable: Facebook,3575736,0,3575869.0,2023-09-03 00:30:20,,223.0,Zabbix-Server-Standby
23296,2023-09-02 22:10:34,Website Unavailable: Grafana,3570800,0,3576597.0,2023-09-03 11:04:46,,46452.0,Zabbix-Server-Standby
24738,2023-09-02 16:50:54,Website Unavailable: Facebook,3559109,0,3572254.0,2023-09-02 22:50:36,,21582.0,Zabbix-Server-Standby
26665,2023-09-01 20:14:23,Zabbix agent is not available,3542773,0,3596493.0,2023-09-04 08:52:23,,218280.0,Zabbix-Server-Standby
24738,2023-09-01 14:49:50,Website Unavailable: Facebook,3531339,0,3542625.0,2023-09-01 20:09:53,,19203.0,Zabbix-Server-Standby
26661,2023-09-01 09:52:11,Operating system description has changed,3520827,0,3596485.0,2023-09-04 08:52:11,,255600.0,Zabbix-Server-Standby
26662,2023-09-01 09:39:17,has been restarted,3520421,0,3520711.0,2023-09-01 09:48:17,,540.0,Zabbix-Server-Standby
26669,2023-09-01 09:38:54,Load average is too high,3520399,0,3520447.0,2023-09-01 09:39:54,,60.0,Zabbix-Server-Standby
24646,2023-09-01 09:38:27,{HOST.NAME} is unavailable by ICMP - ({HOST.IP}),3520384,0,3542715.0,2023-09-01 20:12:27,,38040.0,Zabbix-Server-Standby
24738,2023-09-01 01:02:00,Website Unavailable: Facebook,3518190,0,3519916.0,2023-09-01 09:23:28,,30088.0,Zabbix-Server-Standby
24738,2023-08-31 23:43:31,Website Unavailable: Facebook,3515367,0,3515551.0,2023-08-31 23:48:31,,300.0,Zabbix-Server-Standby
26665,2023-08-31 22:52:23,Zabbix agent is not available,3513554,0,3520425.0,2023-09-01 09:39:23,,38820.0,Zabbix-Server-Standby
24738,2023-08-31 22:32:16,Website Unavailable: Facebook,3512850,0,3513815.0,2023-08-31 22:59:46,,1650.0,Zabbix-Server-Standby
24738,2023-08-31 20:57:16,Website Unavailable: Facebook,3509358,0,3511343.0,2023-08-31 21:51:02,,3226.0,Zabbix-Server-Standby
24738,2023-08-31 13:47:05,Website Unavailable: Facebook,3493301,0,3507917.0,2023-08-31 20:18:32,,23487.0,Zabbix-Server-Standby
23296,2023-08-31 12:54:19,Website Unavailable: Grafana,3491495,0,3553232.0,2023-09-02 14:06:31,,177132.0,Zabbix-Server-Standby
26688,2023-08-31 12:18:14,/: Disk space is critically low,3490463,0,3490493.0,2023-08-31 12:19:14,,60.0,Zabbix-Server-Standby
26662,2023-08-31 09:11:47,has been restarted,3484684,0,3484983.0,2023-08-31 09:20:47,,540.0,Zabbix-Server-Standby
24646,2023-08-31 09:11:27,{HOST.NAME} is unavailable by ICMP - ({HOST.IP}),3484658,0,3513523.0,2023-08-31 22:51:27,,49200.0,Zabbix-Server-Standby
